taken,1370,0.18
towards,1350,0.83
german,1345,1.01, adj.德国的 n.德语
taking,1345,1.10
presidential,1342,1.28, adj.总统的
york,1306,2.17
june,1305,2.26, n.六月
corruption,1302,2.34, n.腐败，腐化
getting,1282,2.61
won,1268,3.46
ways,1267,3.63
went,1259,3.80
january,1253,4.14, n.一月
parliament,1252,4.22, n.议会，国会
referendum,1246,4.48
japan,1226,4.64, n.日本
clinton,1220,4.97
july,1193,5.87, n.七月
doing,1192,6.03
comes,1166,6.82
dont,1164,6.97
african,1153,7.05, adj.非洲的 n.非洲人
immigration,1149,7.21, n.移居入境
funds,1113,7.97
per,1108,8.04, prep.每，由，按照
latest,1104,8.19
built,1104,8.27
hong,1091,8.41
september,1084,9.00, n.九月
april,1080,9.07, n.四月
turned,1075,9.22
xi,1075,9.36
harder,1075,9.43
particularly,1050,10.65, adv.特别地
rising,1045,10.79
assets,1037,11.07
bigger,1036,11.14
indian,1024,11.35, adj.,n.印度人(的)
told,1022,11.42
mar,1021,11.49
february,1013,11.76, n.二月
peace,1011,11.97, n.和平，平静，和约
english,1009,12.10, n.,adj.英国的，英语
running,1008,12.17, adj.连续的 n.经营
december,997,12.78, n.十二月
infrastructure,995,12.84
got,972,13.24
looking,969,13.31
paper,967,13.37, n.纸，报纸，文件
spent,966,13.44
tech,961,13.57
al,954,14.02
fell,944,14.59, v.砍到
november,938,14.78, n.十一月
e,936,15.10
washington,935,15.16
smaller,935,15.22
un,931,15.29
islamic,920,15.53
greater,912,15.78
partly,911,15.90, adv.部分地
jan,900,16.33
brought,888,17.29
john,871,17.83
works,870,17.88, n.工厂
august,869,17.94, n.八月
particular,867,18.00, adj.特殊的 n.项目
fallen,862,18.12
de,845,18.87
iran,839,19.32
october,826,19.65, n.十月
tried,825,19.71
backed,816,20.10
david,813,20.32
fighting,809,20.53
becoming,803,20.81
pro,799,20.97
coming,795,21.24
leaving,795,21.29
australia,794,21.40, n.澳大利亚
ruling,793,21.50, adj.统治的
easier,791,21.56
sold,784,21.87
gave,782,21.93
gone,779,22.08
thanks,778,22.24, n.感谢 int.谢谢
goes,770,22.76
arab,769,22.81, n.阿拉伯
trading,768,22.92
japanese,766,22.97, n.,adj.日本人(的)
housing,765,23.07
wages,753,23.38
millions,752,23.43
person,737,24.13, n.人，人称，身体
selling,735,24.18
paris,728,24.67, n.巴黎
coalition,722,24.92
forced,716,25.06
period,713,25.11, n.时期，句号
agreed,713,25.16, adj.商定的
raised,703,25.54
declared,700,25.63
giving,698,25.77
worked,694,25.87
fiscal,693,25.91
accused,687,26.05
regional,685,26.19, adj.地区的，区域的
canada,682,26.47, n.加拿大
california,680,26.56
israel,678,26.65
involved,678,26.74, adj.涉及的，复杂的
sent,677,26.79
grown,660,27.46, adj.已长成的
banking,657,27.50, n.银行业务、金融业
latin,653,27.64, n.,adj.拉丁语(的)
presidency,648,27.99
performance,647,28.03, n.执行，演出
personal,641,28.20, adj.私人的，个人的
migration,639,28.33, n.迁移，移居海外
kept,635,28.55
moving,631,28.89
wrote,628,29.10
